userId,password,userName,email,zonalCode,branchCode,thanaCode,userRole
110011,PDkjvhWk,Admin User 1,admin1@instance.com,,,,admin
110012,dBhjJeXS,Admin User 2,admin2@instance.com,,,,admin
110013,2aZcFRuV,Admin User 3,admin3@instance.com,,,,admin
120001,FWJjdAWd,Zonal User 1,zonal1@instance.com,1,,,zonal
120002,CMyfmiMa,Zonal User 2,zonal2@instance.com,2,,,zonal
120003,dhT3Ka4r,Zonal User 3,zonal3@instance.com,3,,,zonal
120004,Emcp4kn4,Zonal User 4,zonal4@instance.com,4,,,zonal
120005,mvShBYtn,Zonal User 5,zonal5@instance.com,5,,,zonal
120006,xA2ZmEwG,Zonal User 6,zonal6@instance.com,6,,,zonal
120007,9GJqUuAA,Zonal User 7,zonal7@instance.com,7,,,zonal
120008,9baW66E9,Zonal User 8,zonal8@instance.com,8,,,zonal
120009,a3iDrSyN,Zonal User 9,zonal9@instance.com,9,,,zonal
120010,kfzdm2gR,Zonal User 10,zonal10@instance.com,10,,,zonal
120011,TjGSQska,Zonal User 11,zonal11@instance.com,11,,,zonal
120012,3Gmphwaf,Zonal User 12,zonal12@instance.com,12,,,zonal
120013,rHyyHT5h,Zonal User 13,zonal13@instance.com,13,,,zonal
120014,fP5d6ZMU,Zonal User 14,zonal14@instance.com,14,,,zonal
120015,Y8hrTmDC,Zonal User 15,zonal15@instance.com,15,,,zonal
120016,KhNAeGiE,Zonal User 16,zonal16@instance.com,16,,,zonal
120017,VE7Uxds2,Zonal User 17,zonal17@instance.com,17,,,zonal
120018,kVPkf8MC,Zonal User 18,zonal18@instance.com,18,,,zonal
120019,mNi3vkPP,Zonal User 19,zonal19@instance.com,19,,,zonal
120020,sXSScEX7,Zonal User 20,zonal20@instance.com,20,,,zonal
1,SChScgex,Branch User 1,branch1@instance.com,1,1,,branch
2,ztZ3hwGc,Branch User 2,branch2@instance.com,1,2,,branch
3,6Jimns9M,Branch User 3,branch3@instance.com,1,3,,branch
4,fPAuU8xi,Branch User 4,branch4@instance.com,1,4,,branch
5,wrXUZBVu,Branch User 5,branch5@instance.com,1,5,,branch
6,VfyXfBN7,Branch User 6,branch6@instance.com,1,6,,branch
7,zcytEJSP,Branch User 7,branch7@instance.com,1,7,,branch
8,W3geExue,Branch User 8,branch8@instance.com,2,8,,branch
9,7QcvFdkc,Branch User 9,branch9@instance.com,2,9,,branch
11,g6EaJUq4,Branch User 11,branch11@instance.com,2,11,,branch
12,rhDAY9f8,Branch User 12,branch12@instance.com,2,12,,branch
13,X2BYDhPj,Branch User 13,branch13@instance.com,2,13,,branch
14,MYRjJkPC,Branch User 14,branch14@instance.com,2,14,,branch
15,edFBjCqi,Branch User 15,branch15@instance.com,2,15,,branch
16,ZqdRTBu9,Branch User 16,branch16@instance.com,3,16,,branch
17,VRdCsKCX,Branch User 17,branch17@instance.com,3,17,,branch
18,JrzgHDnB,Branch User 18,branch18@instance.com,3,18,,branch
19,2nerGs2f,Branch User 19,branch19@instance.com,3,19,,branch
21,rwwYhDQu,Branch User 21,branch21@instance.com,3,21,,branch
23,CfxSPKjA,Branch User 23,branch23@instance.com,3,23,,branch
24,WmA6P2WM,Branch User 24,branch24@instance.com,3,24,,branch
25,JtsiqB78,Branch User 25,branch25@instance.com,4,25,,branch
26,nkW7EBgV,Branch User 26,branch26@instance.com,4,26,,branch
28,9wPbSEfe,Branch User 28,branch28@instance.com,4,28,,branch
30,3KYPXNAG,Branch User 30,branch30@instance.com,4,30,,branch
31,ykFfTUJa,Branch User 31,branch31@instance.com,4,31,,branch
32,HYSMepsq,Branch User 32,branch32@instance.com,4,32,,branch
33,9auMedJZ,Branch User 33,branch33@instance.com,4,33,,branch
34,NZSKPCER,Branch User 34,branch34@instance.com,5,34,,branch
35,3cZWAsmd,Branch User 35,branch35@instance.com,5,35,,branch
36,RrBp6jVW,Branch User 36,branch36@instance.com,5,36,,branch
37,VBqY3CE9,Branch User 37,branch37@instance.com,5,37,,branch
38,ndRkMXPx,Branch User 38,branch38@instance.com,5,38,,branch
39,fkeTD2FS,Branch User 39,branch39@instance.com,5,39,,branch
40,8B88Cfyn,Branch User 40,branch40@instance.com,5,40,,branch
41,SwzKjFb3,Branch User 41,branch41@instance.com,6,41,,branch
42,NsJ7S67B,Branch User 42,branch42@instance.com,6,42,,branch
43,gMq7c7bP,Branch User 43,branch43@instance.com,6,43,,branch
44,WRr7QXce,Branch User 44,branch44@instance.com,6,44,,branch
46,sdmmzt4r,Branch User 46,branch46@instance.com,6,46,,branch
47,B4AKapZ3,Branch User 47,branch47@instance.com,6,47,,branch
48,zcZbPNMT,Branch User 48,branch48@instance.com,6,48,,branch
50,awnrUZWe,Branch User 50,branch50@instance.com,7,50,,branch
51,T4cwNiRH,Branch User 51,branch51@instance.com,7,51,,branch
52,FS8bSCG9,Branch User 52,branch52@instance.com,7,52,,branch
53,eyGDehfQ,Branch User 53,branch53@instance.com,7,53,,branch
54,YKeEtSDN,Branch User 54,branch54@instance.com,7,54,,branch
56,b9krpTXB,Branch User 56,branch56@instance.com,7,56,,branch
57,uSMiaZTb,Branch User 57,branch57@instance.com,7,57,,branch
58,6FbdrwFh,Branch User 58,branch58@instance.com,8,58,,branch
